Antecedent,Consequence,Support,Confidence,Fitness,LHS_len,rhs_name,v,key
"{Height∈[0.0990,0.2250], Shell.weight∈[0.0703,0.5216]}",Rings==7,0.0073333333,0.0079307859,0.0152641192,2,Rings,7,"Height∈[0.0990,0.2250]|Shell.weight∈[0.0703,0.5216] | Rings=7"
"{Shell.weight∈[0.1854,0.2621], Shucked.weight∈[0.0050,0.7453]}",Rings==7,6.666667e-4,0.0023474178,0.0030140845,2,Rings,7,"Shell.weight∈[0.1854,0.2621]|Shucked.weight∈[0.0050,0.7453] | Rings=7"
"{Viscera.weight∈[0.1978,0.2161], Whole.weight∈[0.5906,2.3305]}",Rings==7,6.666667e-4,0.0097087379,0.0103754046,2,Rings,7,"Viscera.weight∈[0.1978,0.2161]|Whole.weight∈[0.5906,2.3305] | Rings=7"
"{Diameter∈[0.2994,0.4697], Length∈[0.4892,0.5900]}",Rings==8,0.0046666667,0.0106870229,0.0153536896,2,Rings,8,"Diameter∈[0.2994,0.4697]|Length∈[0.4892,0.5900] | Rings=8"
"{Length∈[0.5972,0.7550], Viscera.weight∈[0.0030,0.5410]}",Rings==8,0.002,0.0068649886,0.0088649886,2,Rings,8,"Length∈[0.5972,0.7550]|Viscera.weight∈[0.0030,0.5410] | Rings=8"
"{Height∈[0.0758,0.1537], Shell.weight∈[0.1423,0.4728], Viscera.weight∈[0.1269,0.2595]}",Rings==8,6.666667e-4,0.0019011407,0.0025678074,3,Rings,8,"Height∈[0.0758,0.1537]|Shell.weight∈[0.1423,0.4728]|Viscera.weight∈[0.1269,0.2595] | Rings=8"
"{Shucked.weight∈[0.1955,1.2530], Whole.weight∈[0.4301,1.0325]}",Rings==8,0.012,0.0230179028,0.0350179028,2,Rings,8,"Shucked.weight∈[0.1955,1.2530]|Whole.weight∈[0.4301,1.0325] | Rings=8"
"{Diameter∈[0.2601,0.5539], Height∈[0.1426,0.4457]}",Rings==8,0.0033333333,0.0069735007,0.010306834,2,Rings,8,"Diameter∈[0.2601,0.5539]|Height∈[0.1426,0.4457] | Rings=8"
"{Length∈[0.3252,0.7108], Sex==M}",Rings==8,0.004,0.0106007067,0.0146007067,2,Rings,8,"Length∈[0.3252,0.7108]|Sex==M | Rings=8"
"{Shell.weight∈[0.1893,0.6020], Whole.weight∈[0.9071,1.5191]}",Rings==9,0.3613333333,0.9048414023,1.2661747356,2,Rings,9,"Shell.weight∈[0.1893,0.6020]|Whole.weight∈[0.9071,1.5191] | Rings=9"
"{Length∈[0.1706,0.7500], Shell.weight∈[0.2372,0.3550]}",Rings==9,0.342,0.855,1.197,2,Rings,9,"Length∈[0.1706,0.7500]|Shell.weight∈[0.2372,0.3550] | Rings=9"
"{Diameter∈[0.1350,0.6000], Length∈[0.6601,0.7136], Shell.weight∈[0.1318,0.5815]}",Rings==9,0.0246666667,0.649122807,0.6737894737,3,Rings,9,"Diameter∈[0.1350,0.6000]|Length∈[0.6601,0.7136]|Shell.weight∈[0.1318,0.5815] | Rings=9"
"{Diameter∈[0.1493,0.6000], Height∈[0.1149,0.2200], Shell.weight∈[0.0585,0.4462]}",Rings==9,0.7766666667,0.9194948698,1.6961615365,3,Rings,9,"Diameter∈[0.1493,0.6000]|Height∈[0.1149,0.2200]|Shell.weight∈[0.0585,0.4462] | Rings=9"
"{Diameter∈[0.1634,0.5905], Length∈[0.3563,0.5281]}",Rings==9,0.074,0.2180746562,0.2920746562,2,Rings,9,"Diameter∈[0.1634,0.5905]|Length∈[0.3563,0.5281] | Rings=9"
"{Height∈[0.0815,0.2183], Viscera.weight∈[0.1245,0.3945]}",Rings==9,0.2573333333,0.3534798535,0.6108131868,2,Rings,9,"Height∈[0.0815,0.2183]|Viscera.weight∈[0.1245,0.3945] | Rings=9"
"{Length∈[0.3301,0.7140], Whole.weight∈[0.0465,2.4801]}",Rings==9,0.3753333333,0.3861454047,0.761478738,2,Rings,9,"Length∈[0.3301,0.7140]|Whole.weight∈[0.0465,2.4801] | Rings=9"
"{Length∈[0.4419,0.7450], Shucked.weight∈[0.0190,1.1501]}",Rings==9,0.72,0.8477237049,1.5677237049,2,Rings,9,"Length∈[0.4419,0.7450]|Shucked.weight∈[0.0190,1.1501] | Rings=9"
"{Height∈[0.1744,0.2250], Sex==M}",Rings==10,6.666667e-4,0.0114942529,0.0121609196,2,Rings,10,"Height∈[0.1744,0.2250]|Sex==M | Rings=10"
"{Shell.weight∈[0.3246,0.5632], Whole.weight∈[1.3233,2.5260]}",Rings==10,0.0033333333,0.0393700787,0.04270341199999999,2,Rings,10,"Shell.weight∈[0.3246,0.5632]|Whole.weight∈[1.3233,2.5260] | Rings=10"
"{Sex==M, Shell.weight∈[0.0100,0.4598]}",Rings==10,0.0033333333,0.0085470085,0.0118803418,2,Rings,10,"Sex==M|Shell.weight∈[0.0100,0.4598] | Rings=10"
"{Diameter∈[0.1750,0.6000], Whole.weight∈[0.8480,2.8255]}",Rings==10,0.0166666667,0.0336473755,0.0503140422,2,Rings,10,"Diameter∈[0.1750,0.6000]|Whole.weight∈[0.8480,2.8255] | Rings=10"
"{Diameter∈[0.4132,0.5835], Whole.weight∈[0.0320,2.3305]}",Rings==10,0.0073333333,0.0120481928,0.01938152609999999,2,Rings,10,"Diameter∈[0.4132,0.5835]|Whole.weight∈[0.0320,2.3305] | Rings=10"
"{Diameter∈[0.3648,0.4955], Length∈[0.4406,0.6774], Whole.weight∈[0.3004,2.3305]}",Rings==10,0.0116666667,0.017207473,0.028874139700000002,3,Rings,10,"Diameter∈[0.3648,0.4955]|Length∈[0.4406,0.6774]|Whole.weight∈[0.3004,2.3305] | Rings=10"
"{Diameter∈[0.2367,0.6500], Height∈[0.1142,0.9047], Viscera.weight∈[0.0044,0.1923]}",Rings==11,6.666667e-4,0.0016366612,0.0023033279,3,Rings,11,"Diameter∈[0.2367,0.6500]|Height∈[0.1142,0.9047]|Viscera.weight∈[0.0044,0.1923] | Rings=11"
"{Length∈[0.1300,0.7450], Shell.weight∈[0.0081,0.4361]}",Rings==11,0.0013333333,0.00138217,0.0027155033,2,Rings,11,"Length∈[0.1300,0.7450]|Shell.weight∈[0.0081,0.4361] | Rings=11"
"{Diameter∈[0.3772,0.6007], Viscera.weight∈[0.1736,0.3268], Whole.weight∈[0.7119,1.8213]}",Rings==11,0.0053333333,0.0118870728,0.0172204061,3,Rings,11,"Diameter∈[0.3772,0.6007]|Viscera.weight∈[0.1736,0.3268]|Whole.weight∈[0.7119,1.8213] | Rings=11"
"{Shell.weight∈[0.1888,0.6120], Viscera.weight∈[0.1571,0.3132]}",Rings==11,0.0033333333,0.0063371356,0.0096704689,2,Rings,11,"Shell.weight∈[0.1888,0.6120]|Viscera.weight∈[0.1571,0.3132] | Rings=11"
"{Height∈[0.0939,0.2350], Shell.weight∈[0.1937,0.6024]}",Rings==11,0.01,0.015560166,0.025560166,2,Rings,11,"Height∈[0.0939,0.2350]|Shell.weight∈[0.1937,0.6024] | Rings=11"
"{Length∈[0.2999,0.7450], Shucked.weight∈[0.0190,1.2530], Whole.weight∈[0.0465,2.5550]}",Rings==11,0.002,0.0020215633,0.0040215633,3,Rings,11,"Length∈[0.2999,0.7450]|Shucked.weight∈[0.0190,1.2530]|Whole.weight∈[0.0465,2.5550] | Rings=11"
"{Length∈[0.3615,0.7450], Shucked.weight∈[0.3195,0.5664]}",Rings==11,0.0053333333,0.0124610592,0.0177943925,2,Rings,11,"Length∈[0.3615,0.7450]|Shucked.weight∈[0.3195,0.5664] | Rings=11"
"{Length∈[0.3905,0.6393], Sex==M, Shell.weight∈[0.1294,0.2134]}",Rings==11,6.666667e-4,0.0072463768,0.0079130435,3,Rings,11,"Length∈[0.3905,0.6393]|Sex==M|Shell.weight∈[0.1294,0.2134] | Rings=11"
"{Height∈[0.0820,0.2150], Sex==F, Shucked.weight∈[0.1510,1.0739]}",Rings==11,6.666667e-4,0.0020408163,0.002707483,3,Rings,11,"Height∈[0.0820,0.2150]|Sex==F|Shucked.weight∈[0.1510,1.0739] | Rings=11"
"{Diameter∈[0.2166,0.6300], Shell.weight∈[0.2602,0.4940], Viscera.weight∈[0.0031,0.5900]}",Rings==11,0.0086666667,0.0239190432,0.0325857099,3,Rings,11,"Diameter∈[0.2166,0.6300]|Shell.weight∈[0.2602,0.4940]|Viscera.weight∈[0.0031,0.5900] | Rings=11"
"{Height∈[0.1518,0.1972], Whole.weight∈[0.0325,2.0373]}",Rings==12,6.666667e-4,0.0021141649,0.0027808316,2,Rings,12,"Height∈[0.1518,0.1972]|Whole.weight∈[0.0325,2.0373] | Rings=12"
"{Shucked.weight∈[0.4396,1.2530], Viscera.weight∈[0.2815,0.3844]}",Rings==12,0.002,0.0171428571,0.0191428571,2,Rings,12,"Shucked.weight∈[0.4396,1.2530]|Viscera.weight∈[0.2815,0.3844] | Rings=12"
"{Diameter∈[0.1450,0.5291], Height∈[0.0540,0.2250]}",Rings==12,0.002,0.0020646937,0.0040646937,2,Rings,12,"Diameter∈[0.1450,0.5291]|Height∈[0.0540,0.2250] | Rings=12"
"{Height∈[0.1174,0.2250], Length∈[0.2252,0.7450], Shucked.weight∈[0.2805,1.2530]}",Rings==12,0.0013333333,0.0019704433,0.0033037766,3,Rings,12,"Height∈[0.1174,0.2250]|Length∈[0.2252,0.7450]|Shucked.weight∈[0.2805,1.2530] | Rings=12"
"{Viscera.weight∈[0.0511,0.2697], Whole.weight∈[0.0145,2.3305]}",Rings==12,0.0033333333,0.0042992261,0.0076325594,2,Rings,12,"Viscera.weight∈[0.0511,0.2697]|Whole.weight∈[0.0145,2.3305] | Rings=12"
"{Viscera.weight∈[0.1054,0.4441], Whole.weight∈[0.0145,2.3305]}",Rings==12,0.0013333333,0.0016233766,0.0029567099,2,Rings,12,"Viscera.weight∈[0.1054,0.4441]|Whole.weight∈[0.0145,2.3305] | Rings=12"
"{Sex==M, Whole.weight∈[0.8029,2.0115]}",Rings==12,0.002,0.0082872928,0.0102872928,2,Rings,12,"Sex==M|Whole.weight∈[0.8029,2.0115] | Rings=12"
"{Length∈[0.2962,0.7500], Viscera.weight∈[0.0005,0.2783], Whole.weight∈[0.8525,2.1186]}",Rings==12,0.002,0.0057471264,0.0077471264,3,Rings,12,"Length∈[0.2962,0.7500]|Viscera.weight∈[0.0005,0.2783]|Whole.weight∈[0.8525,2.1186] | Rings=12"
"{Length∈[0.4330,0.7800], Shell.weight∈[0.2669,0.6668], Shucked.weight∈[0.6851,1.2530]}",Rings==12,6.666667e-4,0.0125,0.0131666667,3,Rings,12,"Length∈[0.4330,0.7800]|Shell.weight∈[0.2669,0.6668]|Shucked.weight∈[0.6851,1.2530] | Rings=12"
"{Shell.weight∈[0.0382,0.6780], Shucked.weight∈[0.4078,1.0475], Whole.weight∈[0.1640,2.5550]}",Rings==12,0.0056666667,0.0124087591,0.0180754258,3,Rings,12,"Shell.weight∈[0.0382,0.6780]|Shucked.weight∈[0.4078,1.0475]|Whole.weight∈[0.1640,2.5550] | Rings=12"
